name;short_name;county_id
"COLEGIUL NAȚIONAL ""CALISTRAT HOGAȘ"", MUNICIPIUL PIATRA-NEAMȚ";CNCH, PIATRA NEAMȚ;NEAMŢ
Colegiul Național ”Cantemir Vodă”;Col.Naț. ”Cantemir Vodă”;MUNICIPIUL BUCUREŞTI
"COLEGIUL NAŢIONAL CATOLIC ""SF.IOSIF"" BACĂU";"COLEGIUL NAŢIONAL CATOLIC ""SF.IOSIF"" BACĂU";BACĂU
"COLEGIUL NAŢIONAL ""C.D. LOGA"" CARANSEBEŞ";"COLEGIUL NAŢIONAL ""C.D. LOGA"" CARANSEBEŞ";CARAŞ-SEVERIN
COLEGIUL NAȚIONAL ”CONSTANTIN CANTACUZINO” TÂRGOVIȘTE;COLEGIUL NAȚIONAL ”CONSTANTIN CANTACUZINO” TGV;DÂMBOVIŢA
COLEGIUL NAȚIONAL ”CONSTANTIN CARABELLA” TÂRGOVIȘTE;COLEGIUL NAȚIONAL ”CONSTANTIN CARABELLA” TGV;DÂMBOVIŢA
"COLEGIUL NAȚIONAL ""CONSTANTIN DIACONOVICI LOGA"" TIMIȘOARA";COL. NAT. C.D.LOGA TIMISOARA;TIMIŞ
"COLEGIUL NAŢIONAL ""COSTACHE NEGRI"" TÂRGU OCNA";"COLEGIUL NAŢIONAL ""COSTACHE NEGRI"" TÂRGU OCNA";BACĂU
"COLEGIUL NAŢIONAL ""COSTACHE NEGRUZZI"", IAŞI";"COL ""C. NEGRUZZI"" IASI";IAŞI
"COLEGIUL NAŢIONAL ""CUZA VODĂ"", MUN. HUŞI";COL_NAŢ CUZA VODĂ;VASLUI
"COLEGIUL NAŢIONAL DE ARTĂ ""GEORGE APOSTU"" BACĂU";"COLEGIUL NAŢIONAL DE ARTĂ ""GEORGE APOSTU"" BACĂU";BACĂU
"COLEGIUL NAȚIONAL DE ARTĂ ""OCTAV BĂNCILĂ"", IAŞI";"COL NAT DE ARTA ""O.BANCILA"" IASI";IAŞI
"Colegiul Naţional de Arte ""Dinu Lipatti""";"Col. Naţ. de Arte ""D. Lipatti""";MUNICIPIUL BUCUREŞTI
COLEGIUL NAŢIONAL DE ARTE ’REGINA MARIA’ CONSTANŢA;COL NAT DE ARTĂ CȚA;CONSTANŢA
"COLEGIUL NAȚIONAL DE INFORMATICĂ ""CARMEN SYLVA"" PETROȘANI";"COLEGIUL NAȚIONAL DE INF. ""CARMEN SYLVA"" PETROȘANI";HUNEDOARA
Colegiul Național de Informatică 'Gr. Moisil' Brașov;Colegiul Național de Informatică Brașov;BRAŞOV
COLEGIUL NAȚIONAL DE INFORMATICĂ, MUNICIPIUL PIATRA-NEAMȚ;CNI, PIATRA NEAMȚ;NEAMŢ
"COLEGIUL NAȚIONAL DE INFORMATICĂ ""SPIRU HARET"" SUCEAVA";CN DE INFORMATICĂ ”SPIRU HARET” SUCEAVA;SUCEAVA
"Colegiul Naţional de Informatică ""Tudor Vianu""";"Colegiul Naţional de Informatică ""Tudor Vianu""";MUNICIPIUL BUCUREŞTI
"Colegiul Naţional de Muzică ""George Enescu""";"Colegiul Naţional de Muzică ""George Enescu""";MUNICIPIUL BUCUREŞTI
"COLEGIUL NAȚIONAL ""DECEBAL"" DEVA";"COLEGIUL NAȚIONAL ""DECEBAL"" DEVA";HUNEDOARA
COLEGIUL NAȚIONAL „DIACONOVICI TIETZ“ REŞIŢA;LIC DIACONOVICI-TIETZ RESITA;CARAŞ-SEVERIN
"COLEGIUL NAŢIONAL ""DIMITRIE CANTEMIR"" ONEŞTI";"COLEGIUL NAŢIONAL ""DIMITRIE CANTEMIR"" ONEŞTI";BACĂU
"COLEGIUL NAȚIONAL ""DINICU GOLESCU"" CÂMPULUNG";CN DINICU GOLESCU CÂMPULUNG;ARGEŞ
Colegiul Național 'Doamna Stanca' Făgăraș;Colegiul Național 'Doamna Stanca' Făgăraș;BRAŞOV
"COLEGIUL NAȚIONAL ""DOAMNA STANCA"" SATU MARE";"CN ""DOAMNA STANCA"" SM";SATU MARE
Colegiul Național 'Dr. Ioan Meșotă' Brașov;Colegiul Național 'Dr. Ioan Meșotă' Brașov;BRAŞOV
"COLEGIUL NAȚIONAL ""DRAGOȘ VODĂ"" CÂMPULUNG MOLDOVENESC";"CN ""DRAGOȘ VODĂ"" CÂMPULUNG MOLDOVENESC";SUCEAVA
Colegiul Național Economic 'Andrei Bârseanu' Brașov;Colegiul Național Economic Brașov;BRAŞOV
"COLEGIUL NAȚIONAL ECONOMIC ""THEODOR COSTESCU""";"COL.ECONOMIC ""TH.COSTESCU""";MEHEDINŢI
"Colegiul Naţional ""Elena Cuza""";"Col. Naţ. ""Elena Cuza""";MUNICIPIUL BUCUREŞTI
